volts	mAhg
3.9391165	125.1795113
3.94003204	125.320485
3.94094759	125.4614549
3.94155795	125.6024248
3.9423209	125.7433985
3.94338903	125.8843684
3.94399939	126.0253383
3.94476234	126.166312
3.94583047	126.307282
3.94628824	126.4482519
3.94720378	126.5892256
3.94796674	126.7301955
3.94888228	126.8711654
3.94964523	127.0121391
3.95040818	127.153109
3.95117113	127.2940789
3.95193408	127.4350526
3.95284962	127.5760226
3.95376516	127.7169925
3.95452811	127.8579662
3.95498589	127.9989361
3.95620661	128.139906
3.95681697	128.2808797
3.95773251	128.4218496
3.95864805	128.5628195
3.95925841	128.7037932
3.96017395	128.8447632
3.9609369	128.9857331
3.96185245	129.1267068
3.96231022	129.2676767
3.96353094	129.4086466
3.9641413	129.5496203
3.96505684	129.6905902
3.96581979	129.8315602
3.96673533	129.9725338
3.96749828	130.1135038
3.96841382	130.2544737
3.96932937	130.3954474
3.96993973	130.5364173
3.97100786	130.6773872
3.97161822	130.8183609
3.97238117	130.9593308
3.97314412	131.1003008
3.97421225	131.2412707
3.9749752	131.3822444
3.97558556	131.5232143
3.97634852	131.6641842
3.97726406	131.8051579
3.9781796	131.9461278
3.97909514	132.0870977
3.97985809	132.2280714
3.98092622	132.3690414
3.98153658	132.5100113
3.98229953	132.650985
3.98306249	132.7919549
3.98397803	132.9329248
3.98489357	133.0738985
3.98565652	133.2148684
3.98657206	133.3558383
3.98733501	133.496812
3.98825055	133.637782
3.9890135	133.7787519
3.98977646	133.9197256
3.99084459	134.0606955
3.99160754	134.2016654
3.99267567	134.3426391
3.99328603	134.483609
3.99404898	134.6245789
3.99496452	134.7655526
3.99588006	134.9065226
3.99664302	135.0474925
3.99740597	135.1884662
3.99832151	135.3294361
3.99938964	135.470406
4	135.6113797
4.00091554	135.7523496
4.00167849	135.8933195
4.00259403	136.0342932
4.00335698	136.1752632
4.00442512	136.3162331
4.00503548	136.4572068
4.0062562	136.5981767
4.00686656	136.7391466
4.0077821	136.8801203
4.00854505	137.0210902
4.009308	137.1620602
4.01037613	137.3030338
4.01113909	137.4440038
4.01190204	137.5849737
4.01281758	137.7259474
4.01358053	137.8669173
4.01464866	138.0078872
4.01541161	138.1488609
4.01617456	138.2898308
4.01739528	138.4308008
4.01800565	138.5717744
4.01892119	138.7127444
4.01968414	138.8537143
4.02059968	138.994688
4.02136263	139.1356579
4.02227817	139.2766278
4.02288853	139.4176015
4.02380407	139.5585714
4.0250248	139.6995414
4.02563516	139.840515
4.02639811	139.981485
4.02731365	140.1224549
4.02838178	140.2634286
4.02914473	140.4043985
4.03006027	140.5453684
4.03082322	140.6863421
4.03189136	140.827312
4.03265431	140.968282
4.03341726	141.1092556
4.03418021	141.2502256
4.03524834	141.3911955
4.03616388	141.5321692
4.03677424	141.6731391
4.03784237	141.814109
4.03875792	141.9550827
4.03952087	142.0960526
4.04028382	142.2370226
4.04119936	142.3779962
4.0421149	142.5189662
4.04318303	142.6599361
4.04394598	142.8009098
4.04470893	142.9418797
4.04577707	143.0828496
4.04654002	143.2238233
4.04745556	143.3647932
4.04806592	143.5057632
4.04913405	143.6467368
4.05004959	143.7877068
4.05096513	143.9286767
4.05188067	144.0696504
4.05279622	144.2106203
4.05371176	144.3515902
4.05447471	144.4925639
4.05523766	144.6335338
4.05600061	144.7745038
4.05706874	144.9154774
4.05798428	145.0564474
4.05889982	145.1974173
4.05951019	145.338391
4.06073091	145.4793609
4.06134127	145.6203308
4.06225681	145.7613045
4.06317235	145.9022744
4.06424048	146.0432444
4.06500343	146.184218
4.06591897	146.325188
4.06683452	146.4661579
4.06790265	146.6071316
4.06881819	146.7481015
4.06942855	146.8890714
4.07034409	147.0300451
4.07125963	147.171015
4.07217517	147.311985
4.07324331	147.4529586
4.07415885	147.5939286
4.07507439	147.7348985
4.07614252	147.8758722
4.07690547	148.0168421
4.07751583	148.157812
4.07858396	148.2987857
4.0794995	148.4397556
4.08026246	148.5807256
4.081178	148.7216992
4.08224613	148.8626692
4.08316167	149.0036391
4.08392462	149.1446128
4.08484016	149.2855827
4.08590829	149.4265526
4.08682383	149.5675263
